initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating,month,zSpread,zSpreadTrailing,MOVE,MOVETrailing,MOVERetsTrailing,iboxxRetsTrailing
0.85,0.625,10.0,0.52,0.0103265947699459,2.302585092994046,1,4,500.0,6.214608098422191,16.0,6,0.2928013369,0.2893279320272727,0.556,0.5381476190476191,-0.0415445612825374,-0.0927431000000005
0.6,0.01,5.0,0.3461999999999999,0.2047750876278329,1.6094379124341005,0,2,1650.0,7.408530566894626,6.0,3,0.2284605014,0.2494416592956521,0.6149,0.6701590909090909,0.3381936887921652,0.0314155999999993
0.95,0.25,7.0,0.475,0.038804847496482,1.9459101490553128,1,4,1250.0,7.1308988302963465,8.0,8,0.2611623793,0.2422651937826086,0.6451,0.6213318181818182,0.1256325248647705,-0.0503112000000006
0.08,0.125,10.0,0.0063,0.0339676673671035,2.302585092994046,0,1,500.0,6.214608098422191,2.0,6,0.2701714445,0.2992535102363636,0.5292,0.5342952380952382,-0.0769230769230768,0.0908805999999994
0.04,0.01,10.0,-0.036,0.0059229105456966,2.302585092994046,0,1,600.0,6.396929655216146,1.0,3,0.2666750944,0.2485914389043478,0.6937000000000001,0.5827761904761906,0.6128807254126949,0.2502534999999993
0.0,0.01,5.5,-0.1292334024469015,-0.0105015608332223,1.7047480922384253,0,1,1250.0,7.1308988302963465,1.0,1,0.2387170232,0.2226870244952381,0.7812,0.77423,-0.1266629401900503,0.3773578999999994
2.0,1.75,8.0,1.7634999999999998,0.685728045492679,2.079441541679836,1,4,750.0,6.620073206530356,7.0,3,0.6961984066,0.4517360884217392,1.4113,1.0914954545454545,1.202746995473701,-3.4711902
2.25,1.85,8.0,1.885,0.5763693656352215,2.079441541679836,1,4,600.0,6.396929655216146,6.0,3,0.7234362899,0.5216141851956522,0.8714,1.1678045454545456,0.3428879642471876,-2.7596488000000003
0.15,1.75,10.0,-0.0099999999999997,0.0081002975078599,2.302585092994046,0,1,1250.0,7.1308988302963465,1.0,5,0.1706293381,0.1731275864590909,1.3517,1.246075,0.4729214340198322,-0.3395954000000005
1.175,0.75,7.0,0.865,0.7666632864603996,1.9459101490553128,1,4,1250.0,7.1308988302963465,10.0,6,0.2751713857,0.3006383705095238,0.5403,0.5345500000000001,-0.070531567177017,0.0503848999999994
0.33,0.01,7.0,0.185,0.1908621301068004,1.9459101490553128,0,1,500.0,6.214608098422191,1.0,6,0.5886838248,0.6651087585130435,0.5535,0.5513090909090909,-0.2503047541649735,1.8075141
0.08,3.125,3.0,0.0030000000000001,-0.0182613226201198,1.0986122886681098,0,1,750.0,6.620073206530356,1.0,2,0.3326029628,0.3668238792090909,1.0315,1.0894095238095238,-0.0794288264167781,0.5883317999999996
0.55,0.125,5.0,0.3674999999999999,0.0510207358216767,1.6094379124341005,0,4,1000.0,6.907755278982137,6.0,7,0.2847799666,0.3039452694772727,0.618957,0.68945375,-0.1483922895942543,0.9352809999999996
1.2,3.75,6.0,0.8479999999999999,0.0630065194453022,1.791759469228055,0,3,500.0,6.214608098422191,7.0,1,0.3686242122,0.3831846492571428,1.0377,1.1444789473684212,-0.1371195742557792,0.2233166999999996
0.08,1.625,10.0,-0.0549999999999999,0.0387867177027203,2.302585092994046,0,1,500.0,6.214608098422191,1.0,4,0.1678308794999999,0.1728134495454545,1.3011,1.2123619047619048,0.2878352964466002,-0.3581656000000006
0.775,0.0,4.5,0.3473403986078927,0.1933841993002232,1.5040773967762742,1,4,1000.0,6.907755278982137,8.0,10,0.3126396686,0.3084218182227273,0.801374,0.8170908181818182,-0.1082607070050653,0.3228028999999996
0.14,0.25,5.5,0.0022395745778562,-0.0046112004152736,1.7047480922384253,0,1,1000.0,6.907755278982137,1.0,1,0.395448442,0.4194933367777778,0.537818,0.6016793,0.0689996501717338,-0.0472581000000003
0.7,1.875,3.5,0.4413678235427223,-0.01191160287896,1.252762968495368,0,2,750.0,6.620073206530356,6.0,6,0.2734813066,0.2284841552863636,1.0712000000000002,1.1641285714285714,-0.1242642249836493,0.0465828999999994
0.95,3.25,5.0,0.794,-0.2904161369519645,1.6094379124341005,1,4,700.0,6.551080335043404,8.5,9,0.2460871879,0.2301758480863636,1.2887,1.2565809523809524,0.069460580912863,0.0510292999999996
1.375,0.875,7.0,1.05,0.4627012827602288,1.9459101490553128,0,2,750.0,6.620073206530356,7.0,4,0.6873034988000001,0.7166463022842106,0.627,0.725845,-0.5469653179190752,-0.1391984000000004
-0.07,0.5,7.0,-0.127,-0.2707050127424873,1.9459101490553128,0,1,1000.0,6.907755278982137,8.5,9,0.3035478082,0.32594712522,0.468087,0.4888244,-0.0179855662316954,1.7294074999999995
3.25,5.75,5.0,3.032,0.5803275451550098,1.6094379124341005,0,3,500.0,6.214608098422191,10.0,1,0.3748760184999999,0.3932913697,1.1261,1.183284210526316,-0.050665992244141,0.6877968999999997
1.15,1.495,7.0,0.9300000000000002,0.5255115879332084,1.9459101490553128,1,4,1000.0,6.907755278982137,9.0,9,0.3443448258,0.3186083263909091,0.495692,0.4955541428571428,-0.0375977804398347,0.6730065999999997
0.4,3.05,5.5,0.3627935283924048,0.2947008277375607,1.7047480922384253,0,1,750.0,6.620073206530356,2.0,11,0.3081922736,0.2966477801142857,1.3213,1.34772,-0.1380390110248548,1.0670084999999996
