date,isin,NIP,ipt,guidance,initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating
2019-06-05,XS2010447238,1.4562344281599466,102.5,80.0,1.025,0.75,7.1,0.7233466457606873,-0.19515839241423705,1.9600947840472698,Corporate,Sr Unsecured,750.0,6.620073206530356,A+
2019-06-05,SK4000015400,1.9169541120453717,,20.0,0.2,0.125,7.0,0.107,0.14021318847230396,1.9459101490553132,Financials,Secured,500.0,6.214608098422191,AAA
2019-06-11,XS2013574038,16.06129154339103,175.0,150.0,1.75,1.375,7.0,1.362,0.5883844304910857,1.9459101490553132,Financials,Sr Non Preferred,1250.0,7.1308988302963465,BBB+
2019-06-12,AT0000A28HX3,2.4913450881133845,82.5,77.5,0.825,0.75,7.0,0.74,0.34503020493989334,1.9459101490553132,Financials,Sr Preferred,250.0,5.521460917862246,A
2019-06-12,XS2014370915,-0.9603873299845952,,10.0,0.1,0.05,7.0,0.04000000000000001,-0.08458557802102859,1.9459101490553132,Financials,Secured,500.0,6.214608098422191,AAA
2019-06-12,XS2014288315,-1.0103873299845954,,10.0,0.1,0.05,7.0,0.04000000000000001,-0.08458557802102859,1.9459101490553132,Financials,Secured,1250.0,7.1308988302963465,AAA
2019-06-12,XS2014287937,4.400149551534836,60.0,,0.6,0.25,5.0,0.395,0.08771829037516328,1.6094379124341003,Financials,Sr Preferred,1250.0,7.1308988302963465,A
2019-06-12,XS2013745703,14.676423520311722,122.5,105.0,1.225,1.0,7.0,0.99,0.3488739534168736,1.9459101490553132,Financials,Sr Non Preferred,1000.0,6.907755278982137,BBB+
2019-06-12,XS2013520023,0.7058951614511244,,15.0,0.15,0.625,15.0,0.028000000000000136,0.07027982130416693,2.70805020110221,Financials,Secured,500.0,6.214608098422191,NR
2019-06-12,XS2014291616,15.336954776506593,180.0,165.0,1.8,1.5,7.0,1.49,0.65610653246038,1.9459101490553132,Corporate,Sr Unsecured,650.0,6.476972362889683,BBB+
2019-06-13,XS2015240083,4.053751784318695,182.5,152.5,1.825,1.5,7.5,1.454918748373618,0.7997601849754161,2.0149030205422647,Corporate,Sr Unsecured,500.0,6.214608098422191,NR
2019-06-13,XS2015231413,23.509954081740556,110.0,97.5,1.1,0.625,5.0,0.78,0.22297208569216498,1.6094379124341003,Corporate,Sr Non Preferred,500.0,6.214608098422191,A-
2019-06-13,SK4000015475,0.9781954396004972,35.0,,0.35,0.5,10.0,0.24,0.1442310424291674,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AA
2019-06-13,XS2014373182,0.7812034462381096,,3.0,0.03,0.0,8.0,-0.088,-0.08599222887112087,2.0794415416798357,Financials,Secured,1000.0,6.907755278982137,AAA
2019-06-13,DE000CZ40N46,7.116330824997739,140.0,122.5,1.4,1.125,7.0,1.1209,0.5112331304289812,1.9459101490553132,Financials,Sr Non Preferred,500.0,6.214608098422191,BBB
2019-06-13,XS2014373851,0.4901674243272531,,8.0,0.08,0.75,20.0,0.001000000000000112,0.00752581080770002,2.995732273553991,Financials,Secured,1550.0,7.346010209913293,AAA
2019-06-13,XS2015267953,0.6682405180852129,120.0,95.0,1.2,0.625,5.0,0.78,0.4918852491040675,1.6094379124341003,Corporate,Sr Preferred,500.0,6.214608098422191,BBB+
2019-06-13,FR0013428067,-3.207780741637684,70.0,39.0,0.7,0.625,11.0,0.2856000000000001,-0.08807742808372197,2.3978952727983707,Corporate,Sr Unsecured,600.0,6.396929655216146,A-
2019-06-14,FR0013428489,-1.556517530317704,62.5,40.0,0.625,0.375,8.0,0.299,-0.047513683201102594,2.0794415416798357,Corporate,Sr Unsecured,750.0,6.620073206530356,A-
2019-06-14,XS2016160777,18.630572722572357,290.0,285.0,2.9,2.5,5.0,2.665,0.4627681021734293,1.6094379124341003,Financials,Sr Preferred,500.0,6.214608098422191,BB
2019-06-14,XS2008921947,15.856808455559602,117.5,97.5,1.175,0.625,5.0,0.79,0.28848913018415073,1.6094379124341003,Financials,Sr Non Preferred,500.0,6.214608098422191,A
2019-06-17,CH0483180946,26.59210310646588,130.0,107.5,1.3,1.0,8.0,0.911,0.5662895007383973,2.0794415416798357,Financials,Sr Unsecured,1500.0,7.313220387090301,BBB+
2019-06-17,FR0013428943,2.6194716304236607,85.0,,0.85,0.625,9.0,0.449,0.2444841975208421,2.1972245773362196,Corporate,Sr Unsecured,400.0,5.991464547107982,A-
2019-06-17,XS2016228087,-8.008429228246083,97.5,77.5,0.975,0.875,10.0,0.617,0.2614508894006921,2.302585092994046,Corporate,Sr Unsecured,400.0,5.991464547107982,NR
2019-06-18,XS2016070430,4.7898406009768975,60.0,57.5,0.6,0.3,5.0,0.515,0.04350441969637192,1.6094379124341003,Financials,Sr Unsecured,500.0,6.214608098422191,AA-
2019-06-18,FR0013429073,-0.3051373941760601,100.0,82.5,1.0,0.625,5.0,0.84,0.226781859321936,1.6094379124341003,Financials,Sr Non Preferred,1250.0,7.1308988302963465,A+
2019-06-19,XS2018637913,-0.1661938886522627,90.0,,0.9,0.375,5.0,0.6,0.25380533021376883,1.6094379124341003,Financials,Sr Preferred,1000.0,6.907755278982137,A-
