,Instrument,Date,Bid Yield
5596,DE000AAR0272,2023-02-07T00:00:00Z,3.126
5597,DE000AAR0272,2023-02-08T00:00:00Z,3.162
5598,DE000AAR0272,2023-02-09T00:00:00Z,3.127
5599,DE000AAR0272,2023-02-10T00:00:00Z,3.162
5600,DE000AAR0272,2023-02-13T00:00:00Z,3.213
5601,DE000AAR0272,2023-02-14T00:00:00Z,3.332
5602,DE000AAR0272,2023-02-15T00:00:00Z,3.334
5603,DE000AAR0272,2023-02-16T00:00:00Z,3.331
5604,DE000AAR0272,2023-02-17T00:00:00Z,3.345
5605,DE000AAR0272,2023-02-20T00:00:00Z,3.346
5606,DE000AAR0272,2023-02-21T00:00:00Z,3.44
5607,DE000AAR0272,2023-02-22T00:00:00Z,3.416
5608,DE000AAR0272,2023-02-23T00:00:00Z,3.364
5609,DE000AAR0272,2023-02-24T00:00:00Z,3.5
5610,DE000AAR0272,2023-02-27T00:00:00Z,3.561
5611,DE000AAR0272,2023-02-28T00:00:00Z,3.612
5612,DE000BHY0BJ9,2019-01-09T00:00:00Z,0.584
5613,DE000BHY0BJ9,2019-01-10T00:00:00Z,0.63
5614,DE000BHY0BJ9,2019-01-11T00:00:00Z,0.592
5615,DE000BHY0BJ9,2019-01-14T00:00:00Z,0.62
5616,DE000BHY0BJ9,2019-01-15T00:00:00Z,0.589
5617,DE000BHY0BJ9,2019-01-16T00:00:00Z,0.609
5618,DE000BHY0BJ9,2019-01-17T00:00:00Z,0.59
5619,DE000BHY0BJ9,2019-01-18T00:00:00Z,0.628
5620,DE000BHY0BJ9,2019-01-21T00:00:00Z,0.633
5621,DE000BHY0BJ9,2019-01-22T00:00:00Z,0.601
5622,DE000BHY0BJ9,2019-01-23T00:00:00Z,0.55
5623,DE000BHY0BJ9,2019-01-24T00:00:00Z,0.526
5624,DE000BHY0BJ9,2019-01-25T00:00:00Z,0.551
5625,DE000BHY0BJ9,2019-01-28T00:00:00Z,0.533
5626,DE000BHY0BJ9,2019-01-29T00:00:00Z,0.601
5627,DE000BHY0BJ9,2019-01-30T00:00:00Z,0.609
5628,DE000BHY0BJ9,2019-01-31T00:00:00Z,0.512
5629,DE000BHY0BJ9,2019-02-01T00:00:00Z,0.521
5630,DE000BHY0BJ9,2019-02-04T00:00:00Z,0.522
5631,DE000BHY0BJ9,2019-02-05T00:00:00Z,0.477
5632,DE000BHY0BJ9,2019-02-06T00:00:00Z,0.488
5633,DE000BHY0BJ9,2019-02-07T00:00:00Z,0.437
5634,DE000BHY0BJ9,2019-02-08T00:00:00Z,0.422
5635,DE000BHY0BJ9,2019-02-11T00:00:00Z,0.431
5636,DE000BHY0BJ9,2019-02-12T00:00:00Z,0.489
5637,DE000BHY0BJ9,2019-02-13T00:00:00Z,0.481
5638,DE000BHY0BJ9,2019-02-14T00:00:00Z,0.469
5639,DE000BHY0BJ9,2019-02-15T00:00:00Z,0.422
5640,DE000BHY0BJ9,2019-02-18T00:00:00Z,0.461
5641,DE000BHY0BP6,2019-10-07T00:00:00Z,0.034
5642,DE000BHY0BP6,2019-10-08T00:00:00Z,0.003
5643,DE000BHY0BP6,2019-10-09T00:00:00Z,0.04
5644,DE000BHY0BP6,2019-10-10T00:00:00Z,0.104
5645,DE000BHY0BP6,2019-10-11T00:00:00Z,0.107
5646,DE000BHY0BP6,2019-10-14T00:00:00Z,0.105
5647,DE000BHY0BP6,2019-10-15T00:00:00Z,0.144
5648,DE000BHY0BP6,2019-10-16T00:00:00Z,0.161
5649,DE000BHY0BP6,2019-10-17T00:00:00Z,0.152
5650,DE000BHY0BP6,2019-10-18T00:00:00Z,0.163
5651,DE000BHY0BP6,2019-10-21T00:00:00Z,0.196
5652,DE000BHY0BP6,2019-10-22T00:00:00Z,0.172
5653,DE000BHY0BP6,2019-10-23T00:00:00Z,0.16
5654,DE000BHY0BP6,2019-10-24T00:00:00Z,0.142
5655,DE000BHY0BP6,2019-10-25T00:00:00Z,0.163
5656,DE000BHY0BP6,2019-10-28T00:00:00Z,0.207
5657,DE000BHY0BP6,2019-10-29T00:00:00Z,0.198
5658,DE000BHY0BP6,2019-10-30T00:00:00Z,0.206
5659,DE000BHY0BP6,2019-10-31T00:00:00Z,0.16
5660,DE000BHY0BP6,2019-11-01T00:00:00Z,0.177
5661,DE000BHY0BP6,2019-11-04T00:00:00Z,0.187
5662,DE000BHY0BP6,2019-11-05T00:00:00Z,0.224
5663,DE000BHY0BP6,2019-11-06T00:00:00Z,0.203
5664,DE000BHY0BP6,2019-11-07T00:00:00Z,0.269
5665,DE000BHY0BP6,2019-11-08T00:00:00Z,0.263
5666,DE000BHY0BP6,2019-11-11T00:00:00Z,0.271
5667,DE000BHY0BP6,2019-11-12T00:00:00Z,0.275
5668,DE000BHY0BP6,2019-11-13T00:00:00Z,0.243
5669,DE000BHY0BP6,2019-11-14T00:00:00Z,0.22
5670,DE000BHY0BP6,2019-11-15T00:00:00Z,0.228
5671,DE000BHY0GS9,2018-03-21T00:00:00Z,1.384
5672,DE000BHY0GS9,2018-03-22T00:00:00Z,1.336
5673,DE000BHY0GS9,2018-03-23T00:00:00Z,1.354
5674,DE000BHY0GS9,2018-03-26T00:00:00Z,1.366
5675,DE000BHY0GS9,2018-03-27T00:00:00Z,1.33
5676,DE000BHY0GS9,2018-03-28T00:00:00Z,1.337
5677,DE000BHY0GS9,2018-03-29T00:00:00Z,1.33
5678,DE000BHY0GS9,2018-03-29T00:00:00Z,1.33
5679,DE000BHY0GS9,2018-03-29T00:00:00Z,1.33
5680,DE000BHY0GS9,2018-04-03T00:00:00Z,1.344
5681,DE000BHY0GS9,2018-04-04T00:00:00Z,1.327
5682,DE000BHY0GS9,2018-04-05T00:00:00Z,1.34
5683,DE000BHY0GS9,2018-04-06T00:00:00Z,1.31
5684,DE000BHY0GS9,2018-04-09T00:00:00Z,1.331
5685,DE000BHY0GS9,2018-04-10T00:00:00Z,1.431
5686,DE000BHY0GS9,2018-04-11T00:00:00Z,1.415
5687,DE000BHY0GS9,2018-04-12T00:00:00Z,1.43
5688,DE000BHY0GS9,2018-04-13T00:00:00Z,1.424
5689,DE000BHY0GS9,2018-04-16T00:00:00Z,1.431
5690,DE000BHY0GS9,2018-04-17T00:00:00Z,1.418
5691,DE000BHY0GS9,2018-04-18T00:00:00Z,1.434
5692,DE000BHY0GS9,2018-04-19T00:00:00Z,1.503
5693,DE000BHY0GS9,2018-04-20T00:00:00Z,1.504
5694,DE000BHY0GS9,2018-04-23T00:00:00Z,1.548
5695,DE000BHY0GS9,2018-04-24T00:00:00Z,1.54
5696,DE000BHY0GS9,2018-04-25T00:00:00Z,1.557
5697,DE000BHY0GS9,2018-04-26T00:00:00Z,1.479
5698,DE000BHY0GS9,2018-04-27T00:00:00Z,1.441
5699,DE000BHY0GS9,2018-04-30T00:00:00Z,1.43
5700,DE000BHY0BP6,2021-12-29T00:00:00Z,0.231
5701,DE000BHY0BP6,2021-12-30T00:00:00Z,0.226
5702,DE000BHY0BP6,2021-12-31T00:00:00Z,0.217
5703,DE000BHY0BP6,2022-01-03T00:00:00Z,0.25
5704,DE000BHY0BP6,2022-01-04T00:00:00Z,0.246
5705,DE000BHY0BP6,2022-01-05T00:00:00Z,0.243
5706,DE000BHY0BP6,2022-01-06T00:00:00Z,0.277
5707,DE000BHY0BP6,2022-01-07T00:00:00Z,0.278
5708,DE000BHY0BP6,2022-01-10T00:00:00Z,0.224
5709,DE000BHY0BP6,2022-01-11T00:00:00Z,0.304
5710,DE000BHY0BP6,2022-01-12T00:00:00Z,0.249
5711,DE000BHY0BP6,2022-01-13T00:00:00Z,0.238
5712,DE000BHY0BP6,2022-01-14T00:00:00Z,0.27
5713,DE000BHY0BP6,2022-01-17T00:00:00Z,0.296
5714,DE000BHY0BP6,2022-01-18T00:00:00Z,0.347
5715,DE000BHY0BP6,2022-01-19T00:00:00Z,0.348
5716,DE000BHY0BP6,2022-01-20T00:00:00Z,0.332
5717,DE000BHY0BP6,2022-01-21T00:00:00Z,0.298
5718,DE000BHY0BP6,2022-01-24T00:00:00Z,0.283
5719,DE000BHY0BP6,2022-01-25T00:00:00Z,0.298
5720,DE000BHY0BP6,2022-01-26T00:00:00Z,0.287
5721,DE000BHY0BP6,2022-01-27T00:00:00Z,0.329
5722,DE000BHY0BP6,2022-01-28T00:00:00Z,0.365
5723,DE000BHY0BP6,2022-01-31T00:00:00Z,0.423
5724,DE000BHY0BP6,2022-02-01T00:00:00Z,0.461
5725,DE000BHY0BP6,2022-02-02T00:00:00Z,0.487
5726,DE000BHY0BP6,2022-02-03T00:00:00Z,0.617
5727,DE000BHY0BP6,2022-02-04T00:00:00Z,0.791
5728,DE000BHY0BP6,2022-02-07T00:00:00Z,0.858
5729,DE000BHY0GU5,2017-09-27T00:00:00Z,0.506
5730,DE000BHY0GU5,2017-09-28T00:00:00Z,0.522
5731,DE000BHY0GU5,2017-09-29T00:00:00Z,0.515
5732,DE000BHY0GU5,2017-10-02T00:00:00Z,0.496
5733,DE000BHY0GU5,2017-10-03T00:00:00Z,0.499
5734,DE000BHY0GU5,2017-10-04T00:00:00Z,0.491
5735,DE000BHY0GU5,2017-10-05T00:00:00Z,0.506
5736,DE000BHY0GU5,2017-10-06T00:00:00Z,0.528
5737,DE000BHY0GU5,2017-10-09T00:00:00Z,0.5
5738,DE000BHY0GU5,2017-10-10T00:00:00Z,0.5
5739,DE000BHY0GU5,2017-10-11T00:00:00Z,0.512
5740,DE000BHY0GU5,2017-10-12T00:00:00Z,0.492
5741,DE000BHY0GU5,2017-10-13T00:00:00Z,0.477
5742,DE000BHY0GU5,2017-10-16T00:00:00Z,0.428
5743,DE000BHY0GU5,2017-10-17T00:00:00Z,0.467
5744,DE000BHY0GU5,2017-10-18T00:00:00Z,0.477
5745,DE000BHY0GU5,2017-10-19T00:00:00Z,0.461
5746,DE000BHY0GU5,2017-10-20T00:00:00Z,0.523
5747,DE000BHY0GU5,2017-10-23T00:00:00Z,0.518
5748,DE000BHY0GU5,2017-10-24T00:00:00Z,0.547
5749,DE000BHY0GU5,2017-10-25T00:00:00Z,0.568
5750,DE000BHY0GU5,2017-10-26T00:00:00Z,0.521
5751,DE000BHY0GU5,2017-10-27T00:00:00Z,0.501
5752,DE000BHY0GU5,2017-10-30T00:00:00Z,0.461
5753,DE000BHY0GU5,2017-10-31T00:00:00Z,0.475
5754,DE000BHY0GU5,2017-11-01T00:00:00Z,0.471
5755,DE000BHY0GU5,2017-11-02T00:00:00Z,0.465
5756,DE000BHY0GU5,2017-11-03T00:00:00Z,0.459
5757,DE000BHY0GU5,2017-11-06T00:00:00Z,0.405
5758,DE000BHY0BP6,2021-03-29T00:00:00Z,-0.186
5759,DE000BHY0BP6,2021-03-30T00:00:00Z,-0.145
5760,DE000BHY0BP6,2021-03-31T00:00:00Z,-0.154
5761,DE000BHY0BP6,2021-04-01T00:00:00Z,-0.185
5762,DE000BHY0BP6,2021-04-01T00:00:00Z,-0.185
5763,DE000BHY0BP6,2021-04-01T00:00:00Z,-0.185
5764,DE000BHY0BP6,2021-04-06T00:00:00Z,-0.143
5765,DE000BHY0BP6,2021-04-07T00:00:00Z,-0.185
5766,DE000BHY0BP6,2021-04-08T00:00:00Z,-0.195
5767,DE000BHY0BP6,2021-04-09T00:00:00Z,-0.167
5768,DE000BHY0BP6,2021-04-12T00:00:00Z,-0.168
5769,DE000BHY0BP6,2021-04-13T00:00:00Z,-0.112
5770,DE000BHY0BP6,2021-04-14T00:00:00Z,-0.119
5771,DE000BHY0BP6,2021-04-15T00:00:00Z,-0.136
5772,DE000BHY0BP6,2021-04-16T00:00:00Z,-0.119
5773,DE000BHY0BP6,2021-04-19T00:00:00Z,-0.083
5774,DE000BHY0BP6,2021-04-20T00:00:00Z,-0.097
5775,DE000BHY0BP6,2021-04-21T00:00:00Z,-0.097
5776,DE000BHY0BP6,2021-04-22T00:00:00Z,-0.09
5777,DE000BHY0BP6,2021-04-23T00:00:00Z,-0.091
5778,DE000BHY0BP6,2021-04-26T00:00:00Z,-0.089
5779,DE000BHY0BP6,2021-04-27T00:00:00Z,-0.088
5780,DE000BHY0BP6,2021-04-28T00:00:00Z,-0.071
5781,DE000BHY0BP6,2021-04-29T00:00:00Z,-0.009
5782,DE000BHY0BP6,2021-04-30T00:00:00Z,-0.063
5783,DE000BHY0BP6,2021-05-03T00:00:00Z,-0.02
5784,DE000BHY0BP6,2021-05-04T00:00:00Z,-0.091
5785,DE000BHY0BP6,2021-05-05T00:00:00Z,-0.037
5786,DE000BHY0BP6,2021-05-06T00:00:00Z,-0.04
5787,DE000CZ45VB7,2020-08-27T00:00:00Z,0.957
5788,DE000CZ45VB7,2020-08-28T00:00:00Z,0.942
5789,DE000CZ45VB7,2020-08-31T00:00:00Z,0.916
5790,DE000CZ45VB7,2020-09-01T00:00:00Z,0.93
5791,DE000CZ45VB7,2020-09-02T00:00:00Z,0.869
5792,DE000CZ45VB7,2020-09-03T00:00:00Z,0.845
5793,DE000CZ45VB7,2020-09-04T00:00:00Z,0.852
5794,DE000CZ45VB7,2020-09-07T00:00:00Z,0.835
5795,DE000CZ45VB7,2020-09-08T00:00:00Z,0.866
5796,DE000CZ45VB7,2020-09-09T00:00:00Z,0.883
5797,DE000CZ45VB7,2020-09-10T00:00:00Z,0.906
5798,DE000CZ45VB7,2020-09-11T00:00:00Z,0.876
5799,DE000CZ45VB7,2020-09-14T00:00:00Z,0.866
5800,DE000CZ45VB7,2020-09-15T00:00:00Z,0.825
5801,DE000CZ45VB7,2020-09-16T00:00:00Z,0.8
5802,DE000CZ45VB7,2020-09-17T00:00:00Z,0.792
5803,DE000CZ45VB7,2020-09-18T00:00:00Z,0.776
5804,DE000CZ45VB7,2020-09-21T00:00:00Z,0.778
5805,DE000CZ45VB7,2020-09-22T00:00:00Z,0.816
5806,DE000CZ45VB7,2020-09-23T00:00:00Z,0.807
5807,DE000CZ45VB7,2020-09-24T00:00:00Z,0.826
5808,DE000CZ45VB7,2020-09-25T00:00:00Z,0.84
5809,DE000CZ45VB7,2020-09-28T00:00:00Z,0.809
5810,DE000CZ45VB7,2020-09-29T00:00:00Z,0.8
5811,DE000CZ45VB7,2020-09-30T00:00:00Z,0.801
5812,DE000CZ45VB7,2020-10-01T00:00:00Z,0.753
5813,DE000CZ45VB7,2020-10-02T00:00:00Z,0.79
5814,DE000CZ45VB7,2020-10-05T00:00:00Z,0.709
5815,DE000CZ45VB7,2020-10-06T00:00:00Z,0.669
5816,DE000CZ40MC5,2019-05-24T00:00:00Z,1.199
5817,DE000CZ40MC5,2019-05-27T00:00:00Z,1.176
5818,DE000CZ40MC5,2019-05-28T00:00:00Z,1.187
5819,DE000CZ40MC5,2019-05-29T00:00:00Z,1.165
5820,DE000CZ40MC5,2019-05-30T00:00:00Z,1.183
5821,DE000CZ40MC5,2019-05-31T00:00:00Z,1.158
5822,DE000CZ40MC5,2019-06-03T00:00:00Z,1.161
5823,DE000CZ40MC5,2019-06-04T00:00:00Z,1.102
5824,DE000CZ40MC5,2019-06-05T00:00:00Z,1.08
5825,DE000CZ40MC5,2019-06-06T00:00:00Z,1.086
5826,DE000CZ40MC5,2019-06-07T00:00:00Z,1.066
5827,DE000CZ40MC5,2019-06-10T00:00:00Z,1.029
5828,DE000CZ40MC5,2019-06-11T00:00:00Z,1.003
5829,DE000CZ40MC5,2019-06-12T00:00:00Z,1.076
5830,DE000CZ40MC5,2019-06-13T00:00:00Z,1.011
5831,DE000CZ40MC5,2019-06-14T00:00:00Z,1.002
5832,DE000CZ40MC5,2019-06-17T00:00:00Z,1.007
5833,DE000CZ40MC5,2019-06-18T00:00:00Z,0.921
5834,DE000CZ40MC5,2019-06-19T00:00:00Z,0.89
5835,DE000CZ40MC5,2019-06-20T00:00:00Z,0.839
5836,DE000CZ40MC5,2019-06-21T00:00:00Z,0.905
5837,DE000CZ40MC5,2019-06-24T00:00:00Z,0.832
5838,DE000CZ40MC5,2019-06-25T00:00:00Z,0.816
5839,DE000CZ40MC5,2019-06-26T00:00:00Z,0.834
5840,DE000CZ40MC5,2019-06-27T00:00:00Z,0.829
5841,DE000CZ40MC5,2019-06-28T00:00:00Z,0.776
5842,DE000CZ40MC5,2019-07-01T00:00:00Z,0.738
5843,DE000CZ40MC5,2019-07-02T00:00:00Z,0.699
5844,DE000CZ40MC5,2019-07-03T00:00:00Z,0.662
5845,DE000CZ40MC5,2018-09-26T00:00:00Z,1.827
5846,DE000CZ40MC5,2018-09-27T00:00:00Z,1.82
5847,DE000CZ40MC5,2018-09-28T00:00:00Z,1.791
5848,DE000CZ40MC5,2018-10-01T00:00:00Z,1.783
5849,DE000CZ40MC5,2018-10-02T00:00:00Z,1.731
5850,DE000CZ40MC5,2018-10-03T00:00:00Z,1.799
